date,users_active,total_sales,new_customers,sales_per_user,new_customer_rate
2023-07-06,130,43875.28,8,337.5021538461538,0.06153846153846154
2023-07-07,187,64121.7,12,342.89679144385025,0.06417112299465241
2023-07-08,287,79016.27,1,275.3180139372822,0.003484320557491289
2023-07-09,327,89585.41,6,273.961498470948,0.01834862385321101
2023-07-10,251,70860.23,13,282.3116733067729,0.05179282868525897
2023-07-11,333,53496.91,12,160.65138138138138,0.036036036036036036
2023-07-12,478,70188.93,7,146.83876569037656,0.014644351464435146
2023-07-13,163,41334.21,13,253.58411042944786,0.07975460122699386
2023-07-14,284,60764.59,10,213.95982394366197,0.035211267605633804
2023-07-15,353,50805.07,4,143.92371104815865,0.0113314447592068
2023-07-16,310,87855.04,10,283.4033548387097,0.03225806451612903
2023-07-17,135,71544.65,7,529.9603703703704,0.05185185185185185
2023-07-18,184,25306.53,7,137.53548913043477,0.03804347826086957
2023-07-19,201,87800.8,5,436.81990049751244,0.024875621890547265
2023-07-20,279,50891.26,8,182.40594982078855,0.02867383512544803
2023-07-21,51,56262.4,10,1103.1843137254903,0.19607843137254902
2023-07-22,206,89094.16,7,432.49592233009713,0.03398058252427184
2023-07-23,253,79589.81,14,314.58422924901186,0.05533596837944664
2023-07-24,128,51213.4,13,400.1046875,0.1015625
2023-07-25,98,20780.11,6,212.0419387755102,0.061224489795918366
2023-07-26,101,58400.39,12,578.2216831683169,0.1188118811881188
2023-07-27,424,59888.47,11,141.24639150943398,0.025943396226415096
2023-07-28,479,24874.18,11,51.92939457202505,0.022964509394572025
2023-07-29,496,72317.91,10,145.8022379032258,0.020161290322580645
2023-07-30,170,25357.15,8,149.15970588235294,0.047058823529411764
2023-07-31,296,58475.42,4,197.5520945945946,0.013513513513513514
2023-08-01,356,21794.96,9,61.22179775280899,0.025280898876404494
2023-08-02,390,61505.6,1,157.70666666666665,0.002564102564102564
2023-08-03,252,55084.49,9,218.58924603174603,0.03571428571428571
2023-08-04,183,40284.44,13,220.13355191256832,0.07103825136612021
2023-08-05,245,39210.05,11,160.0410204081633,0.044897959183673466
2023-08-06,357,35373.18,4,99.08453781512605,0.011204481792717087
2023-08-07,259,71681.48,11,276.762471042471,0.04247104247104247
2023-08-08,73,23864.02,5,326.90438356164384,0.0684931506849315
2023-08-09,324,50388.98,5,155.52154320987654,0.015432098765432098
2023-08-10,426,54543.21,5,128.0357042253521,0.011737089201877934
2023-08-11,243,76638.5,2,315.3847736625514,0.00823045267489712
2023-08-12,202,85415.0,14,422.84653465346537,0.06930693069306931
2023-08-13,436,72075.8,8,165.31146788990827,0.01834862385321101
2023-08-14,365,76699.61,2,210.13591780821918,0.005479452054794521
2023-08-15,432,21972.66,10,50.86263888888889,0.023148148148148147
2023-08-16,386,72777.46,7,188.54264248704663,0.018134715025906734
2023-08-17,146,49619.28,7,339.8580821917808,0.04794520547945205
2023-08-18,104,26609.8,13,255.86346153846154,0.125
2023-08-19,485,47208.16,4,97.33641237113403,0.008247422680412371
2023-08-20,153,38011.53,3,248.4413725490196,0.0196078431372549
2023-08-21,224,36478.5,10,162.85044642857142,0.044642857142857144
2023-08-22,88,39029.3,1,443.51477272727277,0.011363636363636364
2023-08-23,434,79330.42,1,182.7889861751152,0.002304147465437788
2023-08-24,294,67872.13,5,230.85758503401362,0.017006802721088437
2023-08-25,391,74551.86,12,190.66971867007672,0.030690537084398978
2023-08-26,473,59611.99,7,126.02957716701903,0.014799154334038054
2023-08-27,445,43994.45,8,98.86393258426966,0.017977528089887642
2023-08-28,305,43937.07,13,144.05596721311474,0.04262295081967213
2023-08-29,99,75467.18,11,762.2947474747474,0.1111111111111111
2023-08-30,114,69339.89,3,608.244649122807,0.02631578947368421
2023-08-31,248,59735.48,1,240.86887096774194,0.004032258064516129
2023-09-01,223,33835.78,14,151.72995515695067,0.06278026905829596
2023-09-02,154,67494.54,6,438.2762337662337,0.03896103896103896
2023-09-03,358,32363.69,12,90.40136871508379,0.0335195530726257
2023-09-04,308,85615.4,3,277.9720779220779,0.00974025974025974
2023-09-05,92,70036.99,5,761.2716304347827,0.05434782608695652
2023-09-06,231,49325.31,12,213.5294805194805,0.05194805194805195
2023-09-07,366,78588.39,6,214.72237704918032,0.01639344262295082
2023-09-08,80,85492.22,6,1068.65275,0.075
