user_id,event_type,event_time,product_id,amount,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,event_id,transaction_amount,session_duration,timestamp,session_id
U0131,search,2023-06-02 00:29,P026,2528.03,C,5.95,463.0,C,,836.0,A,80.88,925.0,A,67.34,724.0,B,21.82,899.0,,38.06,57.0,B,56.2,841.0,C,,,,41.85,349.0,C,21.95,,,88.34,,A,43.66,,C,,,B,,117.0,,30.91,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0100,checkout,2023-06-02 09:02,P029,,B,,52.0,,69.59,309.0,B,4.65,129.0,C,10.0,884.0,C,42.8,44.0,A,27.52,659.0,A,96.57,,A,35.45,606.0,B,,,A,,943.0,,6.78,,B,,853.0,C,30.7,660.0,,26.8,716.0,,71.63,150.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0218,add_to_cart,2023-06-03 06:23,P012,,,,,C,60.59,778.0,B,90.72,,C,21.2,47.0,B,47.24,613.0,,,,,,370.0,A,17.25,305.0,A,93.92,368.0,,,566.0,A,0.7,811.0,C,,158.0,B,16.53,,,4.64,947.0,B,,743.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0144,add_to_cart,2023-06-05 22:38,P027,,A,,,C,7.79,,C,75.89,46.0,,,909.0,,,471.0,,41.9,,B,29.75,157.0,A,,646.0,,35.46,,C,37.83,15.0,C,22.99,,C,74.53,,A,15.7,,,14.31,,B,,178.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0116,profile_update,2023-06-04 23:33,P007,,B,61.92,772.0,A,,96.0,B,7.41,686.0,,98.84,,B,35.52,821.0,C,37.95,489.0,,71.74,,A,85.4,784.0,,22.51,,A,5.11,599.0,A,26.02,168.0,C,90.55,,A,74.78,60.0,A,,45.0,A,90.04,498.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0032,profile_update,2023-06-02 12:51,P008,597.66,,82.06,442.0,C,71.94,935.0,,83.3,,B,,,C,,926.0,B,48.73,50.0,A,57.14,,C,10.83,417.0,C,73.13,,C,,133.0,,6.29,89.0,C,39.42,,A,70.53,,B,,700.0,,97.41,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0341,page_view,2023-06-03 08:43,P025,,C,13.4,,A,11.5,858.0,A,12.83,620.0,,65.52,921.0,B,11.93,,A,61.48,339.0,,77.95,,,99.0,364.0,B,,917.0,A,23.89,495.0,A,70.52,300.0,C,12.14,458.0,A,61.21,,,,81.0,,,78.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0033,page_view,2023-06-04 20:55,P004,2685.69,A,80.18,,C,,836.0,C,87.62,,A,97.03,501.0,A,41.79,155.0,B,19.9,502.0,,77.28,,C,55.4,129.0,C,17.44,,A,90.05,,A,71.17,,B,,53.0,,19.56,,A,,,C,96.83,953.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0317,profile_update,2023-06-04 15:52,P024,1157.58,,,347.0,,20.65,102.0,,53.59,956.0,B,18.11,295.0,C,,717.0,,44.54,804.0,A,77.5,73.0,C,28.84,866.0,B,,,A,,,A,65.01,,C,34.01,,A,81.13,881.0,C,83.45,393.0,,72.41,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0007,wishlist_add,2023-06-03 18:11,P014,695.42,,,954.0,,44.12,872.0,C,,482.0,A,13.44,299.0,B,6.17,362.0,B,0.98,994.0,C,,641.0,A,,,,60.23,464.0,B,81.99,,C,,591.0,B,81.4,477.0,,28.54,,C,29.11,,,,527.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0070,wishlist_add,2023-06-05 12:52,P020,2910.47,,12.59,,C,17.69,225.0,C,,444.0,B,64.15,,C,37.25,744.0,B,,,,,50.0,C,49.43,173.0,,28.09,,C,71.49,,,,701.0,B,,506.0,A,54.52,616.0,B,31.16,859.0,A,,292.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0048,search,2023-06-02 16:28,P024,2027.93,B,41.99,,C,12.22,244.0,B,60.79,943.0,A,76.69,674.0,C,33.7,23.0,A,,190.0,A,,,B,,,,15.56,100.0,,80.34,355.0,,8.88,843.0,,3.12,,A,0.81,,A,,46.0,C,,628.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0367,add_to_cart,2023-06-04 09:10,P003,,A,8.32,3.0,C,71.67,85.0,B,10.68,,B,,,A,38.81,835.0,A,80.35,,A,14.67,133.0,A,54.02,,C,16.69,,C,89.65,752.0,A,,824.0,B,,940.0,A,42.39,608.0,B,,947.0,A,,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0170,wishlist_add,2023-06-01 17:47,P015,2483.79,,21.05,413.0,,,543.0,,97.26,992.0,A,48.74,319.0,B,,632.0,,99.25,482.0,C,97.45,458.0,B,37.78,,B,98.73,808.0,C,15.64,,,4.24,,C,85.16,294.0,C,,370.0,C,15.17,135.0,B,,534.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0262,wishlist_add,2023-06-05 14:57,P019,,C,31.9,,C,79.95,,B,49.29,670.0,B,93.04,75.0,B,75.17,,,,403.0,,68.3,,B,,710.0,,43.03,510.0,C,13.48,110.0,C,42.77,671.0,C,,,A,,899.0,A,58.65,525.0,B,,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0269,login,2023-06-05 05:24,P004,763.39,C,24.4,250.0,A,,,B,53.26,,B,22.21,992.0,A,49.07,278.0,B,46.44,965.0,A,9.5,629.0,C,59.08,,A,,389.0,A,28.8,495.0,,66.01,,A,,129.0,C,89.91,786.0,B,2.01,,C,,124.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0251,page_view,2023-06-06 14:23,P011,562.53,C,,118.0,,68.79,312.0,,98.96,,B,90.06,418.0,,,794.0,C,54.99,286.0,,,,C,20.29,651.0,A,92.23,746.0,C,11.57,990.0,A,77.36,,A,94.86,195.0,,,981.0,B,53.99,,C,90.11,725.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0377,search,2023-06-04 22:12,P014,,A,15.43,212.0,,20.69,111.0,C,97.63,650.0,B,86.2,750.0,,,,A,,130.0,A,74.36,79.0,,80.32,,A,6.21,612.0,,,634.0,C,,,C,20.03,,,13.85,440.0,C,,270.0,A,96.66,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0145,profile_update,2023-06-02 02:18,P003,,B,67.1,,B,,815.0,B,,,,69.13,990.0,,41.53,257.0,C,77.34,153.0,B,83.43,732.0,C,66.58,804.0,C,,689.0,B,64.9,996.0,,7.26,674.0,B,,125.0,,,404.0,,65.8,,A,,15.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0312,page_view,2023-06-04 20:16,P020,1491.28,A,75.5,,A,,711.0,B,,408.0,,99.64,471.0,C,25.8,,A,47.9,,,2.56,582.0,B,13.78,496.0,C,33.15,834.0,C,,489.0,,86.62,444.0,C,,347.0,B,54.03,807.0,,,89.0,A,,841.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0249,wishlist_add,2023-06-05 22:19,P003,,,11.23,,C,2.94,459.0,B,,,B,,482.0,A,28.19,700.0,A,93.49,,C,91.71,649.0,,,,B,54.06,338.0,C,2.0,,,,960.0,A,,465.0,C,35.95,721.0,A,,,,22.09,727.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0285,wishlist_add,2023-06-01 09:14,P030,2906.11,,86.78,253.0,C,33.46,975.0,A,93.88,85.0,A,,616.0,A,22.68,9.0,A,,978.0,B,51.67,923.0,,86.55,335.0,C,39.97,421.0,A,95.12,,C,3.72,,C,44.95,132.0,A,74.7,,,34.26,849.0,C,17.28,874.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0339,add_to_cart,2023-06-05 17:29,P017,,,,528.0,B,39.71,65.0,C,96.95,474.0,A,54.33,113.0,B,21.57,727.0,,,,A,76.2,517.0,C,15.32,416.0,A,40.45,324.0,C,31.13,,A,,588.0,A,8.83,,C,,863.0,B,,257.0,C,20.14,441.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0005,page_view,2023-06-04 22:06,P017,,C,,511.0,B,83.41,,B,,991.0,,,156.0,B,,353.0,A,80.88,483.0,C,,792.0,A,,,C,,217.0,C,44.65,396.0,B,,,,,452.0,B,,865.0,C,,237.0,C,65.31,674.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0389,login,2023-06-02 19:23,P024,,,79.21,,C,,,A,86.12,226.0,A,39.52,954.0,,,935.0,A,,107.0,B,,,,,315.0,B,18.52,841.0,C,7.77,401.0,A,89.23,,A,48.59,230.0,B,31.06,210.0,B,,250.0,C,,244.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0180,add_to_cart,2023-06-04 06:32,P005,528.55,B,79.75,504.0,A,,,C,22.79,45.0,C,1.75,728.0,A,35.01,429.0,B,33.76,784.0,C,80.93,34.0,,94.9,436.0,C,82.47,,C,19.59,636.0,B,86.64,,A,,,C,4.26,911.0,C,70.03,584.0,A,60.94,136.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0120,page_view,2023-06-01 19:22,P001,2426.87,C,15.15,130.0,C,,,B,31.67,,C,,,B,29.97,537.0,A,78.75,91.0,,55.42,366.0,A,,293.0,B,53.98,,A,22.41,541.0,A,,602.0,C,8.23,758.0,A,16.52,,B,70.68,996.0,C,15.33,486.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0052,wishlist_add,2023-06-05 16:32,P013,856.11,C,62.12,,,40.53,491.0,C,,,C,97.56,393.0,B,85.07,721.0,C,18.69,223.0,C,,786.0,B,,,A,,612.0,A,30.37,127.0,C,36.1,193.0,C,,37.0,C,,544.0,B,57.06,376.0,B,2.39,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0192,page_view,2023-06-04 09:06,P019,,C,,144.0,C,64.73,,C,19.57,243.0,C,66.82,120.0,B,26.01,698.0,C,92.09,,A,,,,4.89,147.0,A,19.42,,C,64.71,243.0,A,,525.0,A,31.66,740.0,C,,874.0,B,11.83,,A,,959.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0190,checkout,2023-06-03 00:09,P024,939.67,,26.99,,A,,307.0,A,95.31,438.0,,17.19,817.0,A,76.82,,A,,670.0,B,22.05,753.0,A,,625.0,C,31.32,398.0,A,81.12,588.0,C,,248.0,,,293.0,,44.35,,C,53.15,,A,45.56,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0317,add_to_cart,2023-06-03 18:59,P006,933.2,C,21.34,,B,43.63,906.0,B,,967.0,,,859.0,A,,,B,39.11,51.0,C,38.25,86.0,C,3.78,,B,,772.0,B,72.41,,,,,B,,,C,49.49,,A,34.19,213.0,C,42.84,67.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0327,profile_update,2023-06-05 13:03,P001,2809.18,A,,329.0,A,63.41,694.0,C,73.66,,A,,,A,,934.0,A,31.29,,C,38.89,934.0,C,,783.0,C,65.0,904.0,,65.42,755.0,,,828.0,A,61.78,,A,51.56,181.0,,76.65,,C,60.44,137.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0325,wishlist_add,2023-06-02 10:06,P008,,,95.5,,,51.57,39.0,,,316.0,,37.11,248.0,C,,597.0,B,34.92,27.0,A,,467.0,C,42.28,509.0,B,53.7,,,63.39,176.0,B,16.09,667.0,C,,403.0,B,89.59,165.0,C,,377.0,A,1.76,458.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0343,page_view,2023-06-05 02:39,P022,,A,,,A,34.24,,C,24.45,640.0,B,64.98,188.0,A,87.54,135.0,C,28.0,311.0,C,29.19,289.0,B,19.18,737.0,B,77.27,54.0,,11.39,547.0,,37.21,111.0,B,,792.0,C,69.78,317.0,C,94.78,590.0,,23.79,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0158,search,2023-06-02 22:33,P021,,B,,145.0,C,90.12,652.0,,20.57,,C,20.31,,B,,,B,,438.0,,67.17,,C,37.01,293.0,A,37.02,903.0,B,87.56,283.0,B,41.1,618.0,C,13.34,96.0,,28.52,796.0,,34.79,,,32.91,958.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0225,login,2023-06-02 17:39,P011,991.76,,89.42,627.0,A,44.16,,A,,500.0,B,,786.0,,27.82,833.0,,90.71,887.0,C,17.42,654.0,,4.29,4.0,,78.02,,C,70.99,218.0,A,2.89,,C,14.03,,C,22.05,267.0,C,17.06,845.0,B,,490.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0017,logout,2023-06-06 09:57,P014,1474.75,C,,,B,97.15,155.0,B,5.35,,A,,152.0,,63.92,864.0,,98.81,301.0,B,38.57,,C,65.55,811.0,,,,A,77.5,,A,,,C,60.13,7.0,,,646.0,B,33.58,592.0,,46.23,205.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0232,checkout,2023-06-01 10:04,P025,1708.83,A,92.62,240.0,,,,B,15.43,,A,,,C,,663.0,C,56.58,842.0,B,36.41,82.0,,,,,2.74,423.0,A,93.02,369.0,,,99.0,C,79.87,502.0,B,,,C,63.23,624.0,A,15.28,625.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0057,wishlist_add,2023-06-02 13:53,P021,,,85.61,339.0,B,,532.0,,,,C,,991.0,C,31.5,458.0,C,50.19,332.0,,,822.0,B,,,,51.57,,B,,524.0,A,95.93,716.0,B,7.39,,B,81.42,,A,25.29,900.0,B,72.52,547.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0271,page_view,2023-06-05 18:46,P030,2856.44,,54.61,,C,82.92,,,26.02,838.0,C,,,C,,853.0,,67.9,837.0,A,,,C,34.71,,A,15.69,,B,73.03,,A,96.36,,C,95.96,835.0,,,,,59.67,453.0,,,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0349,profile_update,2023-06-05 01:17,P004,,,,135.0,B,,496.0,,,,,,,B,2.29,908.0,A,75.8,12.0,,75.84,424.0,C,63.82,620.0,A,,254.0,C,,594.0,B,76.02,751.0,,23.55,102.0,C,99.63,,,2.71,978.0,A,88.56,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0188,search,2023-06-05 13:08,P011,2492.85,A,66.11,556.0,A,,219.0,C,98.39,,C,88.99,,C,,368.0,C,,929.0,B,67.71,416.0,C,64.52,33.0,A,,,B,,890.0,,2.43,,A,38.47,838.0,,65.71,13.0,A,55.55,932.0,A,35.89,225.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0334,logout,2023-06-04 16:28,P002,,A,38.87,881.0,C,19.48,148.0,A,38.87,27.0,A,30.28,,B,,110.0,C,75.1,742.0,A,85.42,928.0,,,950.0,A,,196.0,B,99.89,970.0,A,77.06,397.0,,89.8,151.0,,,501.0,,11.14,,A,39.87,50.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0297,checkout,2023-06-05 19:54,P023,,A,61.01,,A,88.24,628.0,B,32.39,360.0,,40.04,,C,54.15,,,53.47,800.0,,31.84,,,13.42,,A,66.41,917.0,C,,,C,49.78,,,35.58,799.0,B,,185.0,,10.13,,B,34.68,80.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0013,profile_update,2023-06-06 16:24,P024,2441.69,A,60.16,157.0,C,13.31,637.0,,,,C,,748.0,C,42.45,114.0,C,53.55,,B,,586.0,,,286.0,B,78.15,265.0,C,5.0,769.0,A,,41.0,A,75.02,157.0,,21.72,799.0,,,865.0,C,54.22,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0331,page_view,2023-06-02 01:40,P012,,A,75.16,342.0,B,92.44,,A,68.55,660.0,C,,453.0,B,74.03,196.0,,,,C,38.04,431.0,,48.55,,B,26.76,,,38.22,,B,25.05,,,62.86,340.0,A,26.56,997.0,A,68.91,896.0,C,39.71,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0337,page_view,2023-06-05 15:46,P025,,,39.09,909.0,C,63.59,16.0,A,12.19,364.0,A,84.12,379.0,,50.9,750.0,,75.62,,,,426.0,B,26.55,,,0.19,417.0,,,,B,48.5,216.0,C,0.74,481.0,A,,84.0,C,3.12,256.0,B,,528.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0015,login,2023-06-06 17:49,P017,1211.64,B,22.2,,C,,603.0,C,6.8,341.0,,47.92,,B,40.74,653.0,,58.33,,C,4.57,926.0,,15.61,99.0,A,84.71,179.0,C,48.54,594.0,A,,,C,,550.0,B,,,A,50.8,930.0,,31.26,506.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0383,search,2023-06-02 11:40,P006,,A,,905.0,B,40.23,190.0,,9.63,,,19.79,103.0,,,,B,7.8,873.0,C,97.21,483.0,A,83.72,543.0,B,,,A,,508.0,C,37.36,155.0,B,82.0,962.0,B,7.25,,B,83.11,,B,60.53,542.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0279,search,2023-06-06 18:02,P009,,B,12.57,634.0,,,621.0,,4.49,314.0,,52.5,556.0,B,,100.0,C,28.5,444.0,B,14.95,422.0,C,67.84,227.0,B,17.81,,,93.24,110.0,A,,,C,48.81,280.0,B,98.5,864.0,C,83.25,999.0,A,17.4,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0206,login,2023-06-05 17:05,P026,,B,53.61,392.0,C,30.91,369.0,B,44.11,,A,32.8,362.0,A,,,A,79.45,807.0,B,78.46,,,,,C,68.37,,C,,81.0,C,45.03,693.0,,17.91,641.0,A,98.79,465.0,C,,,C,16.36,658.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0019,login,2023-06-05 04:22,P024,,C,84.4,446.0,,41.33,,A,13.75,,,48.25,,B,,160.0,A,28.68,225.0,C,49.42,547.0,A,,703.0,A,,,B,19.12,,,14.77,145.0,,69.8,965.0,,,429.0,B,66.05,16.0,B,70.21,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0312,logout,2023-06-03 13:22,P020,,B,,942.0,C,20.99,986.0,,29.89,579.0,,,,A,,,A,19.0,978.0,C,84.0,1.0,C,54.31,893.0,B,84.14,,,,223.0,B,45.23,141.0,B,60.18,413.0,,37.22,,,65.78,229.0,C,,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0186,page_view,2023-06-05 14:03,P012,1649.38,B,,65.0,C,36.11,587.0,C,56.86,864.0,C,95.89,833.0,C,7.31,570.0,C,77.38,,A,,363.0,,57.33,,,41.45,125.0,B,,46.0,A,37.11,836.0,B,80.33,,A,11.82,,A,82.77,,C,41.52,385.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0313,add_to_cart,2023-06-04 10:50,P001,921.94,A,87.92,,B,,936.0,B,40.67,,A,30.96,249.0,A,76.97,,A,5.84,,C,8.98,489.0,B,42.12,431.0,C,73.87,272.0,B,20.38,229.0,B,,834.0,B,29.15,248.0,B,,,C,40.61,821.0,,20.79,149.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0252,page_view,2023-06-03 20:24,P019,,B,99.42,,B,19.51,,C,40.36,,,,,C,87.49,158.0,B,58.18,678.0,A,64.32,94.0,B,99.39,,,96.36,,,,,,19.03,206.0,B,6.13,323.0,A,,,,34.71,,A,13.03,396.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0337,logout,2023-06-03 22:44,P012,,,54.75,503.0,A,91.15,22.0,B,,951.0,A,,398.0,,,916.0,,68.81,789.0,A,72.4,467.0,A,72.0,319.0,C,10.7,83.0,A,86.13,,B,,340.0,A,,848.0,B,72.55,206.0,C,,900.0,B,34.56,525.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0307,checkout,2023-06-04 03:49,P023,,B,69.03,,,11.57,,A,67.57,504.0,A,28.8,154.0,A,49.89,552.0,,8.64,,A,35.21,336.0,B,27.76,267.0,,28.89,,,13.92,938.0,,29.77,,,27.09,575.0,A,,111.0,,16.26,,B,5.43,7.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0180,wishlist_add,2023-06-05 18:48,P006,,B,73.67,209.0,C,40.52,454.0,B,,,C,,,C,22.92,859.0,,74.31,359.0,,,455.0,C,81.31,,,35.12,0.0,,76.94,,A,99.53,810.0,C,29.3,639.0,,58.56,969.0,,0.02,729.0,B,8.18,735.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0024,search,2023-06-03 02:08,P026,,B,3.66,325.0,,,,,15.58,736.0,C,51.28,114.0,,56.42,368.0,B,65.36,138.0,A,78.34,965.0,A,65.91,,,25.39,291.0,B,,761.0,C,51.01,584.0,A,,,B,62.71,681.0,,,740.0,,36.27,770.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0251,profile_update,2023-06-03 22:57,P024,,C,,323.0,,62.98,,B,17.94,,B,,301.0,,9.22,409.0,A,,695.0,,7.34,,A,,,C,71.23,,,14.91,303.0,A,,286.0,A,33.49,547.0,A,52.43,355.0,A,,724.0,A,61.41,533.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0234,login,2023-06-02 05:17,P017,,A,93.25,,,,753.0,,96.5,528.0,,6.81,,B,45.23,225.0,C,,,C,,626.0,C,26.64,544.0,B,12.16,436.0,,73.92,634.0,C,,823.0,,53.96,,C,,485.0,A,56.17,,,57.38,406.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0178,search,2023-06-04 13:58,P018,,,10.81,25.0,,88.15,948.0,C,46.1,56.0,C,5.34,740.0,,57.81,755.0,B,,199.0,A,,892.0,A,16.39,939.0,A,,326.0,,41.33,45.0,B,,745.0,,38.2,887.0,,55.96,427.0,,,11.0,A,,456.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0093,login,2023-06-05 14:12,P004,,A,37.11,24.0,C,10.56,766.0,,39.76,,A,,,C,93.27,851.0,B,70.58,377.0,B,,,B,,964.0,A,,546.0,C,60.56,,B,,136.0,A,,338.0,C,,296.0,,,,,35.65,341.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0095,login,2023-06-02 01:05,P019,575.4,,55.6,982.0,A,,377.0,A,26.98,152.0,B,3.26,,C,,761.0,,,,,73.15,311.0,B,,889.0,C,,817.0,A,75.27,,A,29.17,,C,32.77,802.0,,67.33,571.0,B,,,C,69.94,,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
U0031,checkout,2023-06-01 12:59,P004,,,,,B,17.32,869.0,A,72.12,627.0,,68.54,659.0,B,58.03,80.0,,,885.0,,9.92,378.0,C,,,A,,,A,18.43,530.0,C,,130.0,C,,419.0,A,,450.0,B,,,C,,634.0,UNKNOWN,0.0,0.0,UNKNOWN,UNKNOWN
