user_id,user_segment
U0355,Standard
U0183,Standard
U0265,Standard
U0097,Standard
U0391,Standard
U0300,Standard
U0018,Standard
U0159,Standard
U0055,Standard
U0301,Standard
U0058,Standard
U0104,Standard
U0038,Standard
U0181,Standard
U0130,Standard
U0135,Standard
U0329,Standard
U0316,Standard
U0273,Standard
U0217,Standard
U0236,Standard
U0250,Standard
U0388,Standard
U0037,Standard
U0392,Standard
U0039,Standard
U0082,Standard
U0119,Standard
U0086,Standard
U0068,Standard
U0011,Standard
U0081,Standard
U0201,Standard
U0133,Standard
U0016,Standard
U0184,Standard
U0340,Standard
U0353,Standard
U0229,Standard
U0046,Standard
U0320,Standard
U0035,Standard
U0242,Standard
U0153,Standard
U0233,Standard
U0215,Standard
U0027,Standard
U0191,Standard
U0156,Standard
U0275,Standard
U0245,Standard
U0350,Standard
U0161,Standard
U0227,Standard
U0045,Standard
U0243,Standard
U0370,Standard
U0111,Standard
U0136,Standard
U0230,Standard
U0172,Standard
U0382,Standard
U0065,Standard
U0029,Standard
U0001,Standard
U0089,Standard
U0241,Standard
U0293,Standard
U0062,Standard
U0362,Standard
U0040,Standard
U0366,Standard
U0073,Standard
U0272,Standard
U0146,Standard
U0266,Standard
U0398,Standard
U0346,Standard
U0147,Standard
U0010,Standard
U0083,Standard
U0358,Standard
U0126,Standard
U0352,Standard
U0256,Standard
U0165,Standard
U0345,Standard
U0150,Standard
U0138,Standard
U0380,Standard
U0200,Standard
U0299,Standard
U0356,Standard
U0166,Standard
U0141,Standard
U0397,Standard
U0296,Standard
U0336,Standard
U0219,Standard
U0288,Standard
U0276,Standard
U0216,Standard
U0323,Standard
U0231,Standard
U0222,Standard
U0189,Standard
U0214,Standard
U0393,Standard
U0203,Standard
U0395,Standard
U0315,Standard
U0152,Standard
U0067,Standard
U0210,Standard
U0140,Standard
U0361,Standard
U0034,Standard
U0077,Standard
U0106,Standard
U0321,Standard
U0107,Standard
U0263,Standard
U0160,Standard
U0112,Standard
U0167,Standard
U0006,Standard
U0386,Standard
U0080,Standard
U0287,Standard
U0399,Standard
U0004,Standard
U0174,Standard
U0226,Standard
U0049,Standard
U0379,Standard
U0121,Standard
U0376,Standard
U0310,Standard
U0088,Standard
U0196,Standard
U0124,Standard
U0330,Standard
U0069,Standard
U0381,Standard
U0247,Standard
U0030,Standard
U0157,Standard
U0348,Standard
U0238,Standard
U0277,Standard
U0054,Standard
U0246,Standard
U0357,Standard
U0394,Standard
U0286,Standard
U0363,Standard
U0268,Standard
U0044,Standard
U0041,Standard
U0261,Standard
U0259,Standard
U0254,Standard
U0396,Standard
U0248,Standard
U0212,Standard
U0128,Standard
U0302,Standard
U0103,Standard
U0074,Standard
U0085,Standard
U0253,Standard
U0043,Standard
U0028,Standard
U0061,Standard
U0127,Standard
U0322,Standard
U0338,Standard
U0075,Standard
U0025,Standard
U0278,Standard
U0060,Standard
U0148,Standard
U0164,Standard
U0260,Standard
U0198,Standard
U0195,Standard
U0132,Standard
U0009,Standard
U0284,Standard
U0292,Standard
U0187,Standard
U0319,Standard
U0202,Standard
U0281,Standard
U0342,Standard
U0378,Standard
U0102,Standard
U0197,Standard
U0022,Standard
U0066,Standard
U0384,Standard
U0176,Standard
U0280,Standard
U0008,Standard
U0090,Standard
U0101,Standard
U0372,Standard
U0289,Standard
U0368,Standard
U0071,Standard
U0026,Standard
U0308,Standard
U0400,Standard
U0193,Standard
U0326,Standard
U0108,Standard
U0351,Standard
U0199,Standard
U0360,Standard
U0096,Standard
U0364,Standard
U0142,Standard
U0373,Standard
U0303,Standard
U0155,Standard
U0064,Standard
U0182,Standard
U0118,Standard
U0194,Standard
U0177,Standard
U0223,Standard
U0023,Standard
U0267,Standard
U0347,Standard
U0149,Standard
U0115,Standard
U0365,Standard
U0185,Standard
U0003,Standard
U0270,Standard
U0092,Standard
U0305,Standard
U0076,Standard
U0162,Standard
U0125,Standard
U0306,Standard
U0283,Standard
U0220,Standard
U0258,Standard
U0387,Standard
U0171,Standard
U0237,Standard
U0072,Standard
U0175,Standard
U0179,Standard
U0311,Standard
U0375,Standard
U0314,Standard
U0020,Standard
U0295,Standard
U0169,Standard
